#,survived,class,gender,age,sib_sp,par_ch,fare,embarked,family,age_bin
516,perished,first,male,47,0,0,34.0208,"Southampton, UK",none,41 to 50
663,perished,first,male,47,0,0,25.5875,"Southampton, UK",none,41 to 50
7,perished,first,male,54,0,0,51.8625,"Southampton, UK",none,51 to 60
493,perished,first,male,55,0,0,30.5,"Southampton, UK",none,51 to 60
468,perished,first,male,56,0,0,26.55,"Southampton, UK",none,51 to 60
695,perished,first,male,60,0,0,26.55,"Southampton, UK",none,51 to 60
171,perished,first,male,61,0,0,33.5,"Southampton, UK",none,51 to 60
626,perished,first,male,61,0,0,32.3208,"Southampton, UK",none,51 to 60
253,perished,first,male,62,0,0,26.55,"Southampton, UK",none,61 to 80
556,perished,first,male,62,0,0,26.55,"Southampton, UK",none,61 to 80
546,perished,first,male,64,0,0,26,"Southampton, UK",none,61 to 80
457,perished,first,male,65,0,0,26.55,"Southampton, UK",none,61 to 80
169,perished,first,male,unknown,0,0,25.925,"Southampton, UK",none,
186,perished,first,male,unknown,0,0,50,"Southampton, UK",none,
271,perished,first,male,unknown,0,0,31,"Southampton, UK",none,
285,perished,first,male,unknown,0,0,26,"Southampton, UK",none,
352,perished,first,male,unknown,0,0,35,"Southampton, UK",none,
476,perished,first,male,unknown,0,0,52,"Southampton, UK",none,
528,perished,first,male,unknown,0,0,221.7792,"Southampton, UK",none,
603,perished,first,male,unknown,0,0,42.4,"Southampton, UK",none,
634,perished,first,male,unknown,0,0,0,"Southampton, UK",none,
712,perished,first,male,unknown,0,0,26.55,"Southampton, UK",none,
816,perished,first,male,unknown,0,0,0,"Southampton, UK",none,
136,perished,second,male,23,0,0,15.0458,"Cherbourg, FR",none,21 to 30
293,perished,second,male,36,0,0,12.875,"Cherbourg, FR",none,31 to 40
182,perished,second,male,unknown,0,0,15.05,"Cherbourg, FR",none,
627,perished,second,male,57,0,0,12.35,"Queenstown, IR",none,51 to 60
792,perished,second,male,16,0,0,26,"Southampton, UK",none,11 to 20
842,perished,second,male,16,0,0,10.5,"Southampton, UK",none,11 to 20
145,perished,second,male,18,0,0,11.5,"Southampton, UK",none,11 to 20
229,perished,second,male,18,0,0,13,"Southampton, UK",none,11 to 20
386,perished,second,male,18,0,0,73.5,"Southampton, UK",none,11 to 20
758,perished,second,male,18,0,0,11.5,"Southampton, UK",none,11 to 20
192,perished,second,male,19,0,0,13,"Southampton, UK",none,11 to 20
239,perished,second,male,19,0,0,10.5,"Southampton, UK",none,11 to 20
73,perished,second,male,21,0,0,73.5,"Southampton, UK",none,11 to 20
399,perished,second,male,23,0,0,10.5,"Southampton, UK",none,21 to 30
659,perished,second,male,23,0,0,13,"Southampton, UK",none,21 to 30
734,perished,second,male,23,0,0,13,"Southampton, UK",none,21 to 30
735,perished,second,male,23,0,0,13,"Southampton, UK",none,21 to 30
200,perished,second,female,24,0,0,13,"Southampton, UK",none,21 to 30
235,perished,second,male,24,0,0,10.5,"Southampton, UK",none,21 to 30
865,perished,second,male,24,0,0,13,"Southampton, UK",none,21 to 30
135,perished,second,male,25,0,0,13,"Southampton, UK",none,21 to 30
344,perished,second,male,25,0,0,13,"Southampton, UK",none,21 to 30
667,perished,second,male,25,0,0,13,"Southampton, UK",none,21 to 30
620,perished,second,male,26,0,0,10.5,"Southampton, UK",none,21 to 30
222,perished,second,male,27,0,0,13,"Southampton, UK",none,21 to 30
552,perished,second,male,27,0,0,26,"Southampton, UK",none,21 to 30
887,perished,second,male,27,0,0,13,"Southampton, UK",none,21 to 30
343,perished,second,male,28,0,0,13,"Southampton, UK",none,21 to 30
563,perished,second,male,28,0,0,13.5,"Southampton, UK",none,21 to 30
884,perished,second,male,28,0,0,10.5,"Southampton, UK",none,21 to 30
243,perished,second,male,29,0,0,10.5,"Southampton, UK",none,21 to 30
179,perished,second,male,30,0,0,13,"Southampton, UK",none,21 to 30
214,perished,second,male,30,0,0,13,"Southampton, UK",none,21 to 30
220,perished,second,male,30,0,0,10.5,"Southampton, UK",none,21 to 30
419,perished,second,male,30,0,0,13,"Southampton, UK",none,21 to 30
440,perished,second,male,31,0,0,10.5,"Southampton, UK",none,21 to 30
71,perished,second,male,32,0,0,10.5,"Southampton, UK",none,31 to 40
240,perished,second,male,33,0,0,12.275,"Southampton, UK",none,31 to 40
723,perished,second,male,34,0,0,13,"Southampton, UK",none,31 to 40
801,perished,second,male,34,0,0,13,"Southampton, UK",none,31 to 40
21,perished,second,male,35,0,0,26,"Southampton, UK",none,31 to 40
813,perished,second,male,35,0,0,10.5,"Southampton, UK",none,31 to 40
266,perished,second,male,36,0,0,10.5,"Southampton, UK",none,31 to 40
345,perished,second,male,36,0,0,13,"Southampton, UK",none,31 to 40
358,perished,second,female,38,0,0,13,"Southampton, UK",none,31 to 40
706,perished,second,male,39,0,0,26,"Southampton, UK",none,31 to 40
796,perished,second,male,39,0,0,13,"Southampton, UK",none,31 to 40
809,perished,second,male,39,0,0,13,"Southampton, UK",none,31 to 40
150,perished,second,male,42,0,0,13,"Southampton, UK",none,41 to 50
398,perished,second,male,46,0,0,26,"Southampton, UK",none,41 to 50
587,perished,second,male,47,0,0,15,"Southampton, UK",none,41 to 50
464,perished,second,male,48,0,0,13,"Southampton, UK",none,41 to 50
724,perished,second,male,50,0,0,13,"Southampton, UK",none,41 to 50
151,perished,second,male,51,0,0,12.525,"Southampton, UK",none,41 to 50
696,perished,second,male,52,0,0,13.5,"Southampton, UK",none,51 to 60
715,perished,second,male,52,0,0,13,"Southampton, UK",none,51 to 60
318,perished,second,male,54,0,0,14,"Southampton, UK",none,51 to 60
583,perished,second,male,54,0,0,26,"Southampton, UK",none,51 to 60
773,perished,second,female,57,0,0,10.5,"Southampton, UK",none,51 to 60
233,perished,second,male,59,0,0,13.5,"Southampton, UK",none,51 to 60
34,perished,second,male,66,0,0,10.5,"Southampton, UK",none,61 to 80
673,perished,second,male,70,0,0,10.5,"Southampton, UK",none,61 to 80
278,perished,second,male,unknown,0,0,0,"Southampton, UK",none,
414,perished,second,male,unknown,0,0,0,"Southampton, UK",none,
467,perished,second,male,unknown,0,0,0,"Southampton, UK",none,
482,perished,second,male,unknown,0,0,0,"Southampton, UK",none,
675,perished,second,male,unknown,0,0,0,"Southampton, UK",none,
733,perished,second,male,unknown,0,0,0,"Southampton, UK",none,
732,perished,third,male,11,0,0,18.7875,"Cherbourg, FR",none,< 11
115,perished,third,female,17,0,0,14.4583,"Cherbourg, FR",none,11 to 20
379,perished,third,male,20,0,0,4.0125,"Cherbourg, FR",none,11 to 20
61,perished,third,male,22,0,0,7.2292,"Cherbourg, FR",none,21 to 30
297,perished,third,male,23.5,0,0,7.2292,"Cherbourg, FR",none,21 to 30
694,perished,third,male,25,0,0,7.225,"Cherbourg, FR",none,21 to 30
58,perished,third,male,28.5,0,0,7.2292,"Cherbourg, FR",none,21 to 30
245,perished,third,male,30,0,0,7.225,"Cherbourg, FR",none,21 to 30
799,perished,third,male,30,0,0,7.2292,"Cherbourg, FR",none,21 to 30
131,perished,third,male,33,0,0,7.8958,"Cherbourg, FR",none,31 to 40
286,perished,third,male,33,0,0,8.6625,"Cherbourg, FR",none,31 to 40
844,perished,third,male,34.5,0,0,6.4375,"Cherbourg, FR",none,31 to 40
848,perished,third,male,35,0,0,7.8958,"Cherbourg, FR",none,31 to 40
662,perished,third,male,40,0,0,7.225,"Cherbourg, FR",none,31 to 40
204,perished,third,male,45.5,0,0,7.225,"Cherbourg, FR",none,41 to 50
27,perished,third,male,unknown,0,0,7.225,"Cherbourg, FR",none,
43,perished,third,male,unknown,0,0,7.8958,"Cherbourg, FR",none,
355,perished,third,male,unknown,0,0,7.225,"Cherbourg, FR",none,
421,perished,third,male,unknown,0,0,7.8958,"Cherbourg, FR",none,
496,perished,third,male,unknown,0,0,14.4583,"Cherbourg, FR",none,
523,perished,third,male,unknown,0,0,7.225,"Cherbourg, FR",none,
525,perished,third,male,unknown,0,0,7.2292,"Cherbourg, FR",none,
532,perished,third,male,unknown,0,0,7.2292,"Cherbourg, FR",none,
569,perished,third,male,unknown,0,0,7.2292,"Cherbourg, FR",none,
585,perished,third,male,unknown,0,0,8.7125,"Cherbourg, FR",none,
599,perished,third,male,unknown,0,0,7.225,"Cherbourg, FR",none,
774,perished,third,male,unknown,0,0,7.225,"Cherbourg, FR",none,
833,perished,third,male,unknown,0,0,7.2292,"Cherbourg, FR",none,
860,perished,third,male,unknown,0,0,7.2292,"Cherbourg, FR",none,
655,perished,third,female,18,0,0,6.75,"Queenstown, IR",none,11 to 20
144,perished,third,male,19,0,0,6.75,"Queenstown, IR",none,11 to 20
422,perished,third,male,21,0,0,7.7333,"Queenstown, IR",none,11 to 20
502,perished,third,female,21,0,0,7.75,"Queenstown, IR",none,11 to 20
704,perished,third,male,25,0,0,7.7417,"Queenstown, IR",none,21 to 30
768,perished,third,female,30.5,0,0,7.75,"Queenstown, IR",none,21 to 30
750,perished,third,male,31,0,0,7.75,"Queenstown, IR",none,21 to 30
891,perished,third,male,32,0,0,7.75,"Queenstown, IR",none,31 to 40
526,perished,third,male,40.5,0,0,7.75,"Queenstown, IR",none,31 to 40
281,perished,third,male,65,0,0,7.75,"Queenstown, IR",none,61 to 80
117,perished,third,male,70.5,0,0,7.75,"Queenstown, IR",none,61 to 80
6,perished,third,male,unknown,0,0,8.4583,"Queenstown, IR",none,
127,perished,third,male,unknown,0,0,7.75,"Queenstown, IR",none,
197,perished,third,male,unknown,0,0,7.75,"Queenstown, IR",none,
261,perished,third,male,unknown,0,0,7.75,"Queenstown, IR",none,
265,perished,third,female,unknown,0,0,7.75,"Queenstown, IR",none,
389,perished,third,male,unknown,0,0,7.7292,"Queenstown, IR",none,
412,perished,third,male,unknown,0,0,6.8583,"Queenstown, IR",none,
429,perished,third,male,unknown,0,0,7.75,"Queenstown, IR",none,
460,perished,third,male,unknown,0,0,7.75,"Queenstown, IR",none,
469,perished,third,male,unknown,0,0,7.725,"Queenstown, IR",none,
503,perished,third,female,unknown,0,0,7.6292,"Queenstown, IR",none,
518,perished,third,male,unknown,0,0,24.15,"Queenstown, IR",none,
553,perished,third,male,unknown,0,0,7.8292,"Queenstown, IR",none,
561,perished,third,male,unknown,0,0,7.75,"Queenstown, IR",none,
614,perished,third,male,unknown,0,0,7.75,"Queenstown, IR",none,
630,perished,third,male,unknown,0,0,7.7333,"Queenstown, IR",none,
681,perished,third,female,unknown,0,0,8.1375,"Queenstown, IR",none,
719,perished,third,male,unknown,0,0,15.5,"Queenstown, IR",none,
777,perished,third,male,unknown,0,0,7.75,"Queenstown, IR",none,
779,perished,third,male,unknown,0,0,7.7375,"Queenstown, IR",none,
791,perished,third,male,unknown,0,0,7.75,"Queenstown, IR",none,
826,perished,third,male,unknown,0,0,6.95,"Queenstown, IR",none,
15,perished,third,female,14,0,0,7.8542,"Southampton, UK",none,11 to 20
139,perished,third,male,16,0,0,9.2167,"Southampton, UK",none,11 to 20
283,perished,third,male,16,0,0,9.5,"Southampton, UK",none,11 to 20
575,perished,third,male,16,0,0,8.05,"Southampton, UK",none,11 to 20
765,perished,third,male,16,0,0,7.775,"Southampton, UK",none,11 to 20
164,perished,third,male,17,0,0,8.6625,"Southampton, UK",none,11 to 20
434,perished,third,male,17,0,0,7.125,"Southampton, UK",none,11 to 20
501,perished,third,male,17,0,0,8.6625,"Southampton, UK",none,11 to 20
845,perished,third,male,17,0,0,8.6625,"Southampton, UK",none,11 to 20
676,perished,third,male,18,0,0,7.775,"Southampton, UK",none,11 to 20
689,perished,third,male,18,0,0,7.7958,"Southampton, UK",none,11 to 20
776,perished,third,male,18,0,0,7.75,"Southampton, UK",none,11 to 20
808,perished,third,female,18,0,0,7.775,"Southampton, UK",none,11 to 20
835,perished,third,male,18,0,0,8.3,"Southampton, UK",none,11 to 20
68,perished,third,male,19,0,0,8.1583,"Southampton, UK",none,11 to 20
303,perished,third,male,19,0,0,0,"Southampton, UK",none,11 to 20
373,perished,third,male,19,0,0,8.05,"Southampton, UK",none,11 to 20
380,perished,third,male,19,0,0,7.775,"Southampton, UK",none,11 to 20
567,perished,third,male,19,0,0,7.8958,"Southampton, UK",none,11 to 20
576,perished,third,male,19,0,0,14.5,"Southampton, UK",none,11 to 20
647,perished,third,male,19,0,0,7.8958,"Southampton, UK",none,11 to 20
688,perished,third,male,19,0,0,10.1708,"Southampton, UK",none,11 to 20
716,perished,third,male,19,0,0,7.65,"Southampton, UK",none,11 to 20
878,perished,third,male,19,0,0,7.8958,"Southampton, UK",none,11 to 20
13,perished,third,male,20,0,0,8.05,"Southampton, UK",none,11 to 20
92,perished,third,male,20,0,0,7.8542,"Southampton, UK",none,11 to 20
132,perished,third,male,20,0,0,7.05,"Southampton, UK",none,11 to 20
405,perished,third,female,20,0,0,8.6625,"Southampton, UK",none,11 to 20
442,perished,third,male,20,0,0,9.5,"Southampton, UK",none,11 to 20
641,perished,third,male,20,0,0,7.8542,"Southampton, UK",none,11 to 20
683,perished,third,male,20,0,0,9.225,"Southampton, UK",none,11 to 20
726,perished,third,male,20,0,0,8.6625,"Southampton, UK",none,11 to 20
841,perished,third,male,20,0,0,7.925,"Southampton, UK",none,11 to 20
877,perished,third,male,20,0,0,9.8458,"Southampton, UK",none,11 to 20
228,perished,third,male,20.5,0,0,7.25,"Southampton, UK",none,11 to 20
38,perished,third,male,21,0,0,8.05,"Southampton, UK",none,11 to 20
52,perished,third,male,21,0,0,7.8,"Southampton, UK",none,11 to 20
116,perished,third,male,21,0,0,7.925,"Southampton, UK",none,11 to 20
174,perished,third,male,21,0,0,7.925,"Southampton, UK",none,11 to 20
409,perished,third,male,21,0,0,7.775,"Southampton, UK",none,11 to 20
492,perished,third,male,21,0,0,7.25,"Southampton, UK",none,11 to 20
495,perished,third,male,21,0,0,8.05,"Southampton, UK",none,11 to 20
624,perished,third,male,21,0,0,7.8542,"Southampton, UK",none,11 to 20
625,perished,third,male,21,0,0,16.1,"Southampton, UK",none,11 to 20
653,perished,third,male,21,0,0,8.4333,"Southampton, UK",none,11 to 20
837,perished,third,male,21,0,0,8.6625,"Southampton, UK",none,11 to 20
81,perished,third,male,22,0,0,9,"Southampton, UK",none,21 to 30
113,perished,third,male,22,0,0,8.05,"Southampton, UK",none,21 to 30
213,perished,third,male,22,0,0,7.25,"Southampton, UK",none,21 to 30
226,perished,third,male,22,0,0,9.35,"Southampton, UK",none,21 to 30
244,perished,third,male,22,0,0,7.125,"Southampton, UK",none,21 to 30
288,perished,third,male,22,0,0,7.8958,"Southampton, UK",none,21 to 30
321,perished,third,male,22,0,0,7.25,"Southampton, UK",none,21 to 30
396,perished,third,male,22,0,0,7.7958,"Southampton, UK",none,21 to 30
475,perished,third,female,22,0,0,9.8375,"Southampton, UK",none,21 to 30
479,perished,third,male,22,0,0,7.5208,"Southampton, UK",none,21 to 30
522,perished,third,male,22,0,0,7.8958,"Southampton, UK",none,21 to 30
589,perished,third,male,22,0,0,8.05,"Southampton, UK",none,21 to 30
883,perished,third,female,22,0,0,10.5167,"Southampton, UK",none,21 to 30
351,perished,third,male,23,0,0,9.225,"Southampton, UK",none,21 to 30
754,perished,third,male,23,0,0,7.8958,"Southampton, UK",none,21 to 30
817,perished,third,female,23,0,0,7.925,"Southampton, UK",none,21 to 30
834,perished,third,male,23,0,0,7.8542,"Southampton, UK",none,21 to 30
90,perished,third,male,24,0,0,8.05,"Southampton, UK",none,21 to 30
211,perished,third,male,24,0,0,7.05,"Southampton, UK",none,21 to 30
294,perished,third,female,24,0,0,8.85,"Southampton, UK",none,21 to 30
295,perished,third,male,24,0,0,7.8958,"Southampton, UK",none,21 to 30
500,perished,third,male,24,0,0,7.7958,"Southampton, UK",none,21 to 30
515,perished,third,male,24,0,0,7.4958,"Southampton, UK",none,21 to 30
771,perished,third,male,24,0,0,9.5,"Southampton, UK",none,21 to 30
677,perished,third,male,24.5,0,0,8.05,"Southampton, UK",none,21 to 30
76,perished,third,male,25,0,0,7.65,"Southampton, UK",none,21 to 30
247,perished,third,female,25,0,0,7.775,"Southampton, UK",none,21 to 30
785,perished,third,male,25,0,0,7.05,"Southampton, UK",none,21 to 30
786,perished,third,male,25,0,0,7.25,"Southampton, UK",none,21 to 30
795,perished,third,male,25,0,0,7.8958,"Southampton, UK",none,21 to 30
885,perished,third,male,25,0,0,7.05,"Southampton, UK",none,21 to 30
163,perished,third,male,26,0,0,7.775,"Southampton, UK",none,21 to 30
402,perished,third,male,26,0,0,8.05,"Southampton, UK",none,21 to 30
629,perished,third,male,26,0,0,7.8958,"Southampton, UK",none,21 to 30
811,perished,third,male,26,0,0,7.8875,"Southampton, UK",none,21 to 30
871,perished,third,male,26,0,0,7.8958,"Southampton, UK",none,21 to 30
322,perished,third,male,27,0,0,7.8958,"Southampton, UK",none,21 to 30
101,perished,third,female,28,0,0,7.8958,"Southampton, UK",none,21 to 30
106,perished,third,male,28,0,0,7.8958,"Southampton, UK",none,21 to 30
170,perished,third,male,28,0,0,56.4958,"Southampton, UK",none,21 to 30
201,perished,third,male,28,0,0,9.5,"Southampton, UK",none,21 to 30
282,perished,third,male,28,0,0,7.8542,"Southampton, UK",none,21 to 30
314,perished,third,male,28,0,0,7.8958,"Southampton, UK",none,21 to 30
356,perished,third,male,28,0,0,9.5,"Southampton, UK",none,21 to 30
509,perished,third,male,28,0,0,22.525,"Southampton, UK",none,21 to 30
757,perished,third,male,28,0,0,7.7958,"Southampton, UK",none,21 to 30
736,perished,third,male,28.5,0,0,16.1,"Southampton, UK",none,21 to 30
91,perished,third,male,29,0,0,8.05,"Southampton, UK",none,21 to 30
232,perished,third,male,29,0,0,7.775,"Southampton, UK",none,21 to 30
423,perished,third,male,29,0,0,7.875,"Southampton, UK",none,21 to 30
714,perished,third,male,29,0,0,9.4833,"Southampton, UK",none,21 to 30
158,perished,third,male,30,0,0,8.05,"Southampton, UK",none,21 to 30
366,perished,third,male,30,0,0,7.25,"Southampton, UK",none,21 to 30
489,perished,third,male,30,0,0,8.05,"Southampton, UK",none,21 to 30
535,perished,third,female,30,0,0,8.6625,"Southampton, UK",none,21 to 30
607,perished,third,male,30,0,0,7.8958,"Southampton, UK",none,21 to 30
815,perished,third,male,30.5,0,0,8.05,"Southampton, UK",none,21 to 30
397,perished,third,female,31,0,0,7.8542,"Southampton, UK",none,21 to 30
806,perished,third,male,31,0,0,7.775,"Southampton, UK",none,21 to 30
383,perished,third,male,32,0,0,7.925,"Southampton, UK",none,31 to 40
520,perished,third,male,32,0,0,7.8958,"Southampton, UK",none,31 to 40
637,perished,third,male,32,0,0,7.925,"Southampton, UK",none,31 to 40
770,perished,third,male,32,0,0,8.3625,"Southampton, UK",none,31 to 40
104,perished,third,male,33,0,0,8.6542,"Southampton, UK",none,31 to 40
720,perished,third,male,33,0,0,7.775,"Southampton, UK",none,31 to 40
753,perished,third,male,33,0,0,9.5,"Southampton, UK",none,31 to 40
882,perished,third,male,33,0,0,7.8958,"Southampton, UK",none,31 to 40
203,perished,third,male,34,0,0,6.4958,"Southampton, UK",none,31 to 40
462,perished,third,male,34,0,0,8.05,"Southampton, UK",none,31 to 40
759,perished,third,male,34,0,0,8.05,"Southampton, UK",none,31 to 40
5,perished,third,male,35,0,0,8.05,"Southampton, UK",none,31 to 40
364,perished,third,male,35,0,0,7.05,"Southampton, UK",none,31 to 40
591,perished,third,male,35,0,0,7.125,"Southampton, UK",none,31 to 40
615,perished,third,male,35,0,0,8.05,"Southampton, UK",none,31 to 40
180,perished,third,male,36,0,0,0,"Southampton, UK",none,31 to 40
190,perished,third,male,36,0,0,7.8958,"Southampton, UK",none,31 to 40
664,perished,third,male,36,0,0,7.4958,"Southampton, UK",none,31 to 40
504,perished,third,female,37,0,0,9.5875,"Southampton, UK",none,31 to 40
109,perished,third,male,38,0,0,7.8958,"Southampton, UK",none,31 to 40
466,perished,third,male,38,0,0,7.05,"Southampton, UK",none,31 to 40
472,perished,third,male,38,0,0,8.6625,"Southampton, UK",none,31 to 40
529,perished,third,male,39,0,0,7.925,"Southampton, UK",none,31 to 40
812,perished,third,male,39,0,0,24.15,"Southampton, UK",none,31 to 40
562,perished,third,male,40,0,0,7.8958,"Southampton, UK",none,31 to 40
762,perished,third,male,41,0,0,7.125,"Southampton, UK",none,31 to 40
350,perished,third,male,42,0,0,8.6625,"Southampton, UK",none,41 to 50
700,perished,third,male,42,0,0,7.65,"Southampton, UK",none,41 to 50
846,perished,third,male,42,0,0,7.55,"Southampton, UK",none,41 to 50
669,perished,third,male,43,0,0,8.05,"Southampton, UK",none,41 to 50
819,perished,third,male,43,0,0,6.45,"Southampton, UK",none,41 to 50
604,perished,third,male,44,0,0,8.05,"Southampton, UK",none,41 to 50
697,perished,third,male,44,0,0,8.05,"Southampton, UK",none,41 to 50
130,perished,third,male,45,0,0,6.975,"Southampton, UK",none,41 to 50
277,perished,third,female,45,0,0,7.75,"Southampton, UK",none,41 to 50
593,perished,third,male,47,0,0,7.25,"Southampton, UK",none,41 to 50
874,perished,third,male,47,0,0,9,"Southampton, UK",none,41 to 50
772,perished,third,male,48,0,0,7.8542,"Southampton, UK",none,41 to 50
598,perished,third,male,49,0,0,0,"Southampton, UK",none,41 to 50
483,perished,third,male,50,0,0,8.05,"Southampton, UK",none,41 to 50
223,perished,third,male,51,0,0,8.05,"Southampton, UK",none,41 to 50
407,perished,third,male,51,0,0,7.75,"Southampton, UK",none,41 to 50
632,perished,third,male,51,0,0,7.0542,"Southampton, UK",none,41 to 50
153,perished,third,male,55.5,0,0,8.05,"Southampton, UK",none,51 to 60
95,perished,third,male,59,0,0,7.25,"Southampton, UK",none,51 to 60
327,perished,third,male,61,0,0,6.2375,"Southampton, UK",none,51 to 60
852,perished,third,male,74,0,0,7.775,"Southampton, UK",none,61 to 80
30,perished,third,male,unknown,0,0,7.8958,"Southampton, UK",none,
46,perished,third,male,unknown,0,0,8.05,"Southampton, UK",none,
77,perished,third,male,unknown,0,0,7.8958,"Southampton, UK",none,
78,perished,third,male,unknown,0,0,8.05,"Southampton, UK",none,
88,perished,third,male,unknown,0,0,8.05,"Southampton, UK",none,
96,perished,third,male,unknown,0,0,8.05,"Southampton, UK",none,
102,perished,third,male,unknown,0,0,7.8958,"Southampton, UK",none,
122,perished,third,male,unknown,0,0,8.05,"Southampton, UK",none,
155,perished,third,male,unknown,0,0,7.3125,"Southampton, UK",none,
159,perished,third,male,unknown,0,0,8.6625,"Southampton, UK",none,
224,perished,third,male,unknown,0,0,7.8958,"Southampton, UK",none,
236,perished,third,female,unknown,0,0,7.55,"Southampton, UK",none,
251,perished,third,male,unknown,0,0,7.25,"Southampton, UK",none,
305,perished,third,male,unknown,0,0,8.05,"Southampton, UK",none,
336,perished,third,male,unknown,0,0,7.8958,"Southampton, UK",none,
385,perished,third,male,unknown,0,0,7.8958,"Southampton, UK",none,
411,perished,third,male,unknown,0,0,7.8958,"Southampton, UK",none,
416,perished,third,female,unknown,0,0,8.05,"Southampton, UK",none,
426,perished,third,male,unknown,0,0,7.25,"Southampton, UK",none,
455,perished,third,male,unknown,0,0,8.05,"Southampton, UK",none,
465,perished,third,male,unknown,0,0,8.05,"Southampton, UK",none,
471,perished,third,male,unknown,0,0,7.25,"Southampton, UK",none,
498,perished,third,male,unknown,0,0,15.1,"Southampton, UK",none,
512,perished,third,male,unknown,0,0,8.05,"Southampton, UK",none,
539,perished,third,male,unknown,0,0,14.5,"Southampton, UK",none,
564,perished,third,male,unknown,0,0,8.05,"Southampton, UK",none,
565,perished,third,female,unknown,0,0,8.05,"Southampton, UK",none,
590,perished,third,male,unknown,0,0,8.05,"Southampton, UK",none,
602,perished,third,male,unknown,0,0,7.8958,"Southampton, UK",none,
612,perished,third,male,unknown,0,0,7.05,"Southampton, UK",none,
649,perished,third,male,unknown,0,0,7.55,"Southampton, UK",none,
651,perished,third,male,unknown,0,0,7.8958,"Southampton, UK",none,
657,perished,third,male,unknown,0,0,7.8958,"Southampton, UK",none,
668,perished,third,male,unknown,0,0,7.775,"Southampton, UK",none,
739,perished,third,male,unknown,0,0,7.8958,"Southampton, UK",none,
740,perished,third,male,unknown,0,0,7.8958,"Southampton, UK",none,
761,perished,third,male,unknown,0,0,14.5,"Southampton, UK",none,
827,perished,third,male,unknown,0,0,56.4958,"Southampton, UK",none,
838,perished,third,male,unknown,0,0,8.05,"Southampton, UK",none,
869,perished,third,male,unknown,0,0,9.5,"Southampton, UK",none,
879,perished,third,male,unknown,0,0,7.8958,"Southampton, UK",none,
506,perished,first,male,18,1,0,108.9,"Cherbourg, FR",one,11 to 20
119,perished,first,male,24,0,1,247.5208,"Cherbourg, FR",one,21 to 30
35,perished,first,male,28,1,0,82.1708,"Cherbourg, FR",one,21 to 30
274,perished,first,male,37,0,1,29.7,"Cherbourg, FR",one,31 to 40
545,perished,first,male,50,1,0,106.425,"Cherbourg, FR",one,41 to 50
156,perished,first,male,51,0,1,61.3792,"Cherbourg, FR",one,41 to 50
55,perished,first,male,65,0,1,61.9792,"Cherbourg, FR",one,61 to 80
749,perished,first,male,19,1,0,53.1,"Southampton, UK",one,11 to 20
103,perished,first,male,21,0,1,77.2875,"Southampton, UK",one,11 to 20
337,perished,first,male,29,1,0,66.6,"Southampton, UK",one,21 to 30
672,perished,first,male,31,1,0,52,"Southampton, UK",one,21 to 30
742,perished,first,male,36,1,0,78.85,"Southampton, UK",one,31 to 40
138,perished,first,male,37,1,0,53.1,"Southampton, UK",one,31 to 40
333,perished,first,male,38,0,1,153.4625,"Southampton, UK",one,31 to 40
36,perished,first,male,42,1,0,52,"Southampton, UK",one,41 to 50
63,perished,first,male,45,1,0,83.475,"Southampton, UK",one,41 to 50
